step,real_x,real_y,real_vx,real_vy,observed_x,observed_y,estimated_x,estimated_y,estimated_vx,estimated_vy
0,0.0,0.0,2.0,1.5,1.2417853825280818,-0.3456607529279616,1.5750937177362747,-0.09567950152181703,1.7330533543317586,1.299790015748819
1,1.024288320178776,0.8071136196153009,2.097153280715104,1.7284544784612037,0.4389048833704361,0.2217712272423495,1.3167829760955208,0.3674961432387589,0.8878780979816474,1.1594936645190663
2,2.132085441117855,1.7001196611891367,2.334035203041213,1.84356968783414,0.9583994762804748,3.0565197701540483,1.3180768340937092,2.110941080476568,0.5582449469293117,2.0260872275427815
3,3.281724879157994,2.6044396393473224,2.264522549119344,1.7737102247986016,3.88663055807308,-2.1787609722971726,2.8048339152700557,0.3268798755846407,1.3358814872768958,0.2249373596233053
4,4.349301734998427,3.4702089694000864,2.0057848742423885,1.6893670954124558,1.817223934162368,4.255827300888271,2.6615588641929304,2.3094137803770085,0.8906033879269815,1.2514201949726123
5,5.318143269287576,4.261931128306241,1.8695812629142068,1.477521540212162,8.98226519159146,3.6974903770899017,5.75051674281064,3.2781530029016754,2.1430590573885366,1.4139332989604236
6,6.255466208420477,4.947263841429318,1.879710493617396,1.2638093122801437,4.89450939710752,5.224570315703983,6.026731314552572,4.496525511350336,1.81216794488108,1.6267039153528968
7,7.1521591960758375,5.593257173257352,1.70706145700405,1.3201640150319942,5.650562471278825,4.86402279877416,6.446031853079682,5.1406170355521175,1.631229835464046,1.5637895663870682
8,7.983125926619259,6.3227996126924335,1.6168054651696406,1.598005742708335,7.949382864774424,3.6785222903026815,7.503174612212082,5.134439254737892,1.712732740329203,1.2978566501702118
9,8.82237409340795,7.076020847172687,1.740187201985119,1.4148791952126816,9.344533080919838,2.1768455374732483,8.681568454573027,4.60427266278149,1.8128621858415845,0.9312353819765143
10,9.642660717566818,7.79084274112412,1.5409592946503543,1.44440838059305,11.488827167555344,8.219263444099045,10.17035331810728,6.034759169261007,1.98202544822412,1.2115123628016495
